Rank,Song,Artist,Year,Concatenated,Concatenated_no_rank,song_artist
62,I Can't Stop Loving You,Ray Charles,1962,62 I Can't Stop Loving You Ray Charles 1962,I Can't Stop Loving You Ray Charles 1962,I Can't Stop Loving You Ray Charles 
63,Killing Me Softly With His Song,Roberta Flack,1973,63 Killing Me Softly With His Song Roberta Flack 1973,Killing Me Softly With His Song Roberta Flack 1973,Killing Me Softly With His Song Roberta Flack 
64,Mona Lisa,Nat King Cole,1950,64 Mona Lisa Nat King Cole 1950,Mona Lisa Nat King Cole 1950,Mona Lisa Nat King Cole 
65,In the Mood,Glenn Miller,1940,65 In the Mood Glenn Miller 1940,In the Mood Glenn Miller 1940,In the Mood Glenn Miller 
66,She Loves You,The Beatles,1964,66 She Loves You The Beatles 1964,She Loves You The Beatles 1964,She Loves You The Beatles 
67,The Letter,The Box Tops,1967,67 The Letter The Box Tops 1967,The Letter The Box Tops 1967,The Letter The Box Tops 
68,Mister Sandman,The Chordettes,1954,68 Mister Sandman The Chordettes 1954,Mister Sandman The Chordettes 1954,Mister Sandman The Chordettes 
69,Careless Whisper,George Michael,1985,69 Careless Whisper George Michael 1985,Careless Whisper George Michael 1985,Careless Whisper George Michael 
70,What's Love Got to Do With It?,Tina Turner,1984,70 What's Love Got to Do With It? Tina Turner 1984,What's Love Got to Do With It? Tina Turner 1984,What's Love Got to Do With It? Tina Turner 
71,I'm a Believer,The Monkees,1967,71 I'm a Believer The Monkees 1967,I'm a Believer The Monkees 1967,I'm a Believer The Monkees 
72,Wooly Bully,"Sam The Sham & The
Pharaohs",1965,"72 Wooly Bully Sam The Sham & The
Pharaohs 1965",Wooly Bully Sam The Sham & The,Wooly Bully Sam The Sham & 
73,Theme From 'Shaft',Isaac Hayes,1971,73 Theme From 'Shaft' Isaac Hayes 1971,Theme From 'Shaft' Isaac Hayes 1971,Theme From 'Shaft' Isaac Hayes 
74,Hot Stuff,Donna Summer,1979,74 Hot Stuff Donna Summer 1979,Hot Stuff Donna Summer 1979,Hot Stuff Donna Summer 
75,Centerfold,J Geils Band,1982,75 Centerfold J Geils Band 1982,Centerfold J Geils Band 1982,Centerfold J Geils Band 
76,Honky Tonk Woman,The Rolling Stones,1969,76 Honky Tonk Woman The Rolling Stones 1969,Honky Tonk Woman The Rolling Stones 1969,Honky Tonk Woman The Rolling Stones 
77,I'll Be There,The Jackson 5,1970,77 I'll Be There The Jackson 5 1970,I'll Be There The Jackson 5 1970,I'll Be There The Jackson 5 
78,Gangsta's Paradise,Coolio,1995,78 Gangsta's Paradise Coolio 1995,Gangsta's Paradise Coolio 1995,Gangsta's Paradise Coolio 
79,Yesterday,The Beatles,1965,79 Yesterday The Beatles 1965,Yesterday The Beatles 1965,Yesterday The Beatles 
80,My Sharona,The Knack,1979,80 My Sharona The Knack 1979,My Sharona The Knack 1979,My Sharona The Knack 
81,Tennessee Waltz,Patti Page,1950,81 Tennessee Waltz Patti Page 1950,Tennessee Waltz Patti Page 1950,Tennessee Waltz Patti Page 
82,Reach Out (I'll Be There),The Four Tops,1966,82 Reach Out (I'll Be There) The Four Tops 1966,Reach Out (I'll Be There) The Four Tops 1966,Reach Out (I'll Be There) The Four Tops 
83,California Dreamin',The Mamas & The Papas,1966,83 California Dreamin' The Mamas & The Papas 1966,California Dreamin' The Mamas & The Papas 1966,California Dreamin' The Mamas & The Papas 
84,Jailhouse Rock,Elvis Presley,1957,84 Jailhouse Rock Elvis Presley 1957,Jailhouse Rock Elvis Presley 1957,Jailhouse Rock Elvis Presley 
85,Irreplaceable,Beyonce,2007,85 Irreplaceable Beyonce 2007,Irreplaceable Beyonce 2007,Irreplaceable Beyonce 
86,Dancing in the Street,Martha & The Vandellas,1964,86 Dancing in the Street Martha & The Vandellas 1964,Dancing in the Street Martha & The Vandellas 1964,Dancing in the Street Martha & The Vandellas 
87,Rolling In The Deep,Adele,2011,87 Rolling In The Deep Adele 2011,Rolling In The Deep Adele 2011,Rolling In The Deep Adele 
88,Tie a Yellow Ribbon 'round the Old Oak Tree,Tony Orlando & Dawn,1973,88 Tie a Yellow Ribbon 'round the Old Oak Tree Tony Orlando & Dawn 1973,Tie a Yellow Ribbon 'round the Old Oak Tree Tony Orlando & Dawn 1973,Tie a Yellow Ribbon 'round the Old Oak Tree Tony Orlando & Dawn 
89,Stand By Me,Ben E King,1961,89 Stand By Me Ben E King 1961,Stand By Me Ben E King 1961,Stand By Me Ben E King 
90,Sentimental Journey,Les Brown & Doris Day,1945,90 Sentimental Journey Les Brown & Doris Day 1945,Sentimental Journey Les Brown & Doris Day 1945,Sentimental Journey Les Brown & Doris Day 
91,The First Time Ever I Saw Your Face,Roberta Flack,1972,91 The First Time Ever I Saw Your Face Roberta Flack 1972,The First Time Ever I Saw Your Face Roberta Flack 1972,The First Time Ever I Saw Your Face Roberta Flack 
92,Louie Louie,Kingsmen,1964,92 Louie Louie Kingsmen 1964,Louie Louie Kingsmen 1964,Louie Louie Kingsmen 
93,Another Brick in the Wall (part 2),Pink Floyd,1980,93 Another Brick in the Wall (part 2) Pink Floyd 1980,Another Brick in the Wall (part 2) Pink Floyd 1980,Another Brick in the Wall (part 2) Pink Floyd 
94,(Just Like) Starting Over,John Lennon,1981,94 (Just Like) Starting Over John Lennon 1981,(Just Like) Starting Over John Lennon 1981,(Just Like) Starting Over John Lennon 
95,Night Fever,Bee Gees,1978,95 Night Fever Bee Gees 1978,Night Fever Bee Gees 1978,Night Fever Bee Gees 
96,"To Sir, With Love",Lulu,1967,"96 To Sir, With Love Lulu 1967","To Sir, With Love Lulu 1967","To Sir, With Love Lulu "
97,You're So Vain,Carly Simon,1973,97 You're So Vain Carly Simon 1973,You're So Vain Carly Simon 1973,You're So Vain Carly Simon 
98,Be My Baby,The Ronettes,1963,98 Be My Baby The Ronettes 1963,Be My Baby The Ronettes 1963,Be My Baby The Ronettes 
99,Celebration,Kool & The Gang,1981,99 Celebration Kool & The Gang 1981,Celebration Kool & The Gang 1981,Celebration Kool & The Gang 
100,(They Long to Be) Close to You,Carpenters,1970,100 (They Long to Be) Close to You Carpenters 1970,(They Long to Be) Close to You Carpenters 1970,(They Long to Be) Close to You Carpenters 
101,Begin the Beguine,Artie Shaw,1938,101 Begin the Beguine Artie Shaw 1938,Begin the Beguine Artie Shaw 1938,Begin the Beguine Artie Shaw 
102,I Still Haven't Found What I'm Looking For,U2,1987,102 I Still Haven't Found What I'm Looking For U2 1987,I Still Haven't Found What I'm Looking For U2 1987,I Still Haven't Found What I'm Looking For U2 
103,I Want You Back,The Jackson 5,1970,103 I Want You Back The Jackson 5 1970,I Want You Back The Jackson 5 1970,I Want You Back The Jackson 5 
104,Arthur's Theme (Best That You Can Do),Christopher Cross,1981,104 Arthur's Theme (Best That You Can Do) Christopher Cross 1981,Arthur's Theme (Best That You Can Do) Christopher Cross 1981,Arthur's Theme (Best That You Can Do) Christopher Cross 
105,Boulevard of Broken Dreams,Green Day,2005,105 Boulevard of Broken Dreams Green Day 2005,Boulevard of Broken Dreams Green Day 2005,Boulevard of Broken Dreams Green Day 
106,With Or Without You,U2,1987,106 With Or Without You U2 1987,With Or Without You U2 1987,With Or Without You U2 
107,Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,107 Tonight's the Night (Gonna Be Alright) Rod Stewart 1976,Tonight's the Night (Gonna Be Alright) Rod Stewart 1976,Tonight's the Night (Gonna Be Alright) Rod Stewart 
108,Are You Lonesome Tonight?,Elvis Presley,1961,108 Are You Lonesome Tonight? Elvis Presley 1961,Are You Lonesome Tonight? Elvis Presley 1961,Are You Lonesome Tonight? Elvis Presley 
109,Upside Down,Diana Ross,1980,109 Upside Down Diana Ross 1980,Upside Down Diana Ross 1980,Upside Down Diana Ross 
110,Dancing Queen,Abba,1977,110 Dancing Queen Abba 1977,Dancing Queen Abba 1977,Dancing Queen Abba 
111,Sweet Child O' Mine,Guns n' Roses,1988,111 Sweet Child O' Mine Guns n' Roses 1988,Sweet Child O' Mine Guns n' Roses 1988,Sweet Child O' Mine Guns n' Roses 
112,Where Did Our Love Go,The Supremes,1964,112 Where Did Our Love Go The Supremes 1964,Where Did Our Love Go The Supremes 1964,Where Did Our Love Go The Supremes 
113,Unchained Melody,The Righteous Brothers,1965,113 Unchained Melody The Righteous Brothers 1965,Unchained Melody The Righteous Brothers 1965,Unchained Melody The Righteous Brothers 
114,"Rudolph, the Red-Nosed Reindeer",Gene Autry,1949,"114 Rudolph, the Red-Nosed Reindeer Gene Autry 1949","Rudolph, the Red-Nosed Reindeer Gene Autry 1949","Rudolph, the Red-Nosed Reindeer Gene Autry "
,,,,115 Take My Breath Away Berlin 1986,Take My Breath Away Berlin 1986,Take My Breath Away Berlin 
,,,,116 I'll Make Love to You Boyz II Men 1994,I'll Make Love to You Boyz II Men 1994,I'll Make Love to You Boyz II Men 
,,,,117 Love Will Keep Us Together Captain & Tennille 1975,Love Will Keep Us Together Captain & Tennille 1975,Love Will Keep Us Together Captain & Tennille 
,,,,118 When a Man Loves a Woman Percy Sledge 1966,When a Man Loves a Woman Percy Sledge 1966,When a Man Loves a Woman Percy Sledge 
,,,,119 Walk Like an Egyptian The Bangles 1986,Walk Like an Egyptian The Bangles 1986,Walk Like an Egyptian The Bangles 
,,,,120 Crazy in Love Beyonce 2003,Crazy in Love Beyonce 2003,Crazy in Love Beyonce 
,,,,121 Strangers in the Night Frank Sinatra 1966,Strangers in the Night Frank Sinatra 1966,Strangers in the Night Frank Sinatra 
,,,,122 You Belong to Me Jo Stafford 1952,You Belong to Me Jo Stafford 1952,You Belong to Me Jo Stafford 
,,,,123 In Da Club 50 Cent 2003,In Da Club 50 Cent 2003,In Da Club 50 Cent 
,,,,"124 Say You, Say Me Lionel Richie 1986","Say You, Say Me Lionel Richie 1986","Say You, Say Me Lionel Richie "
,,,,125 We Are the World USA For Africa 1985,We Are the World USA For Africa 1985,We Are the World USA For Africa 
,,,,126 Johnny B Goode Chuck Berry 1958,Johnny B Goode Chuck Berry 1958,Johnny B Goode Chuck Berry 
,,,,127 Love Theme From 'A Star is Born' (Evergreen) Barbra Streisand 1977,Love Theme From 'A Star is Born' (Evergreen) Barbra Streisand 1977,Love Theme From 'A Star is Born' (Evergreen) Barbra Streisand 
,,,,128 Shadow Dancing Andy Gibb 1978,Shadow Dancing Andy Gibb 1978,Shadow Dancing Andy Gibb 
,,,,129 Superstition Stevie Wonder 1973,Superstition Stevie Wonder 1973,Superstition Stevie Wonder 
,,,,130 Beat It Michael Jackson 1983,Beat It Michael Jackson 1983,Beat It Michael Jackson 
,,,,131 Night & Day Fred Astaire & Leo Reisman 1932,Night & Day Fred Astaire & Leo Reisman 1932,Night & Day Fred Astaire & Leo Reisman 
,,,,132 Waterfalls TLC 1995,Waterfalls TLC 1995,Waterfalls TLC 
,,,,133 House of the Rising Sun The Animals 1964,House of the Rising Sun The Animals 1964,House of the Rising Sun The Animals 
,,,,134 Paper Doll The Mills Brothers 1943,Paper Doll The Mills Brothers 1943,Paper Doll The Mills Brothers 
,,,,135 Downtown Petula Clark 1965,Downtown Petula Clark 1965,Downtown Petula Clark 
,,,,"136 I Can't Help Myself (Sugar Pie, Honey Bunch) The Four Tops 1965","I Can't Help Myself (Sugar Pie, Honey Bunch) The Four Tops 1965","I Can't Help Myself (Sugar Pie, Honey Bunch) The Four Tops "
,,,,137 Kiss From a Rose Seal 1995,Kiss From a Rose Seal 1995,Kiss From a Rose Seal 
,,,,138 Believe Cher 1999,Believe Cher 1999,Believe Cher 
